AREA BIN,DEATH COUNT,,,,,,,,,,,,,
1,562877,,,,,,,,,,,,,
2,902,,,,,,,,,,,,,
3,2537,,,,,,,,,,,,,
4,3658,,,,,,,,,,,,,
5,22694,,,,,,15214,4219,14407,32723,44459,9493,105,3
6,25507,,,,,,562,199993,24517,220176,1894899,206625,274153,38
7,57411,,,,,,13891,200507,452833,818862,444899,487790,170301,12449
8,23195,,,,,,29100,317439,577856,2303266,940041,815199,747686,150941
9,2984,,,,,,5326,412633,613952,1566034,2005230,971569,873301,160184
10,62848,,,,,,2189,837770,852237,851047,1141335,742492,284635,4362
11,157653,,,,,,2984,62848,157653,660778,289943,310620,79397,709
12,660778,,,,,,562877,902,2537,3658,22694,25507,57411,23195
13,289943,,,,,,,,,,,,,
14,310620,,,,,,,,,,,,,
15,79397,,,,,,,,,,,,,
16,709,,,,,,,,,,,,,
17,2189,,,,,,,,,,,,,
18,837770,,,,,,,,,,,,,
19,852237,,,,,,,,,,,,,
20,851047,,,,,,,,,,,,,
21,1141335,,,,,,,,,,,,,
22,742492,,,,,,,,,,,,,
23,284635,,,,,,,,,,,,,
24,4362,,,,,,,,,,,,,
25,5326,,,,,,,,,,,,,
26,412633,,,,,,,,,,,,,
27,613952,,,,,,,,,,,,,
28,1566034,,,,,,,,,,,,,
29,2005230,,,,,,,,,,,,,
30,971569,,,,,,,,,,,,,
31,873301,,,,,,,,,,,,,
32,160184,,,,,,,,,,,,,
33,29100,,,,,,,,,,,,,
34,317439,,,,,,,,,,,,,
35,577856,,,,,,,,,,,,,
36,2303266,,,,,,,,,,,,,
37,940041,,,,,,,,,,,,,
38,815199,,,,,,,,,,,,,
39,747686,,,,,,,,,,,,,
40,150941,,,,,,,,,,,,,
41,13891,,,,,,,,,,,,,
42,200507,,,,,,,,,,,,,
43,452833,,,,,,,,,,,,,
44,818862,,,,,,,,,,,,,
45,444899,,,,,,,,,,,,,
46,487790,,,,,,,,,,,,,
47,170301,,,,,,,,,,,,,
48,12449,,,,,,,,,,,,,
49,562,,,,,,,,,,,,,
50,199993,,,,,,,,,,,,,
51,24517,,,,,,,,,,,,,
52,220176,,,,,,,,,,,,,
53,1894899,,,,,,,,,,,,,
54,206625,,,,,,,,,,,,,
55,274153,,,,,,,,,,,,,
56,38,,,,,,,,,,,,,
57,15214,,,,,,,,,,,,,
58,4219,,,,,,,,,,,,,
59,14407,,,,,,,,,,,,,
60,32723,,,,,,,,,,,,,
61,44459,,,,,,,,,,,,,
62,9493,,,,,,,,,,,,,
63,105,,,,,,,,,,,,,
64,3,,,,,,,,,,,,,
