Angle,Death Count
0,424932
1,85475
2,83726
3,82566
4,80680
5,79589
6,77488
7,76486
8,75539
9,74800
10,73309
11,72717
12,71875
13,71430
14,71055
15,70489
16,69996
17,69575
18,68438
19,67733
20,67035
21,66685
22,66547
23,66675
24,67064
25,66960
26,66208
27,65539
28,65177
29,65045
30,65828
31,66670
32,66113
33,66839
34,67060
35,66208
36,66806
37,66762
38,68485
39,64927
40,65270
41,64805
42,65798
43,65503
44,66183
45,66634
46,65696
47,66664
48,68728
49,68952
50,66363
51,65540
52,65139
53,65276
54,68026
55,66287
56,64401
57,63181
58,63580
59,63664
60,62923
61,63168
62,62133
63,62186
64,61919
65,61657
66,61480
67,61219
68,61452
69,61497
70,61205
71,61660
72,62276
73,61924
74,62698
75,63143
76,63750
77,63621
78,64940
79,64887
80,65946
81,66657
82,67602
83,69411
84,69390
85,70935
86,72220
87,74394
88,76820
89,78342
90,83051
91,81437
92,80025
93,79111
94,77767
95,76152
96,75477
97,74265
98,73345
99,72497
100,71029
101,70617
102,69372
103,68481
104,68454
105,68001
106,67475
107,67084
108,66423
109,66081
110,65445
111,65567
112,65042
113,64412
114,64834
115,64638
116,64019
117,64313
118,64012
119,63264
120,63961
121,63691
122,63413
123,63788
124,63323
125,63229
126,62716
127,62039
128,62528
129,62513
130,62510
131,62525
132,62207
133,62312
134,62694
135,63292
136,63084
137,63038
138,62670
139,63535
140,64820
141,64357
142,63402
143,63119
144,62741
145,62146
146,62869
147,62758
148,62581
149,62502
150,62365
151,62880
152,62628
153,61644
154,62374
155,62191
156,62278
157,61959
158,62631
159,62907
160,63278
161,63114
162,63349
163,64600
164,64158
165,64822
166,65545
167,66073
168,67016
169,68367
170,68808
171,70431
172,71392
173,72853
174,73868
175,75396
176,76927
177,78454
178,80646
179,83540
180,88429
181,86346
182,85311
183,83805
184,82669
185,81769
186,80675
187,79136
188,79154
189,78010
190,75751
191,74876
192,77007
193,83794
194,77348
195,76830
196,74654
197,75469
198,74817
199,73927
200,72533
201,70595
202,71481
203,73363
204,74004
205,74731
206,75168
207,71461
208,70179
209,69832
210,70300
211,76734
212,73784
213,74656
214,79311
215,74740
216,75798
217,79138
218,83336
219,72738
220,69170
221,68496
222,71815
223,68676
224,72700
225,73816
226,72204
227,75347
228,80652
229,84044
230,73205
231,72191
232,71155
233,70572
234,82638
235,78844
236,72796
237,67035
238,68036
239,68672
240,68246
241,68391
242,66677
243,68548
244,68360
245,65065
246,64681
247,65941
248,65704
249,66619
250,66474
251,67655
252,66042
253,65473
254,68526
255,70646
256,72267
257,65578
258,65416
259,65529
260,66563
261,66227
262,67770
263,68446
264,69419
265,70979
266,72212
267,73683
268,75893
269,77914
270,82068
271,80686
272,79445
273,78712
274,76771
275,75328
276,74580
277,73610
278,71867
279,71567
280,70066
281,69150
282,68544
283,68111
284,67627
285,67230
286,66429
287,65934
288,64925
289,64489
290,64579
291,63540
292,63854
293,63084
294,63093
295,62699
296,62263
297,62707
298,62736
299,62448
300,62201
301,61964
302,62170
303,62028
304,62054
305,62233
306,61864
307,61577
308,61522
309,61609
310,61331
311,61251
312,61409
313,61503
314,62053
315,61429
316,61763
317,61339
318,62121
319,62155
320,63582
321,62461
322,61723
323,61863
324,61644
325,61579
326,61101
327,61089
328,61454
329,61341
330,61735
331,60921
332,61057
333,61029
334,60756
335,61018
336,61363
337,61082
338,61954
339,61584
340,62066
341,62214
342,62489
343,63379
344,63387
345,63450
346,64803
347,64828
348,66145
349,67269
350,67492
351,68489
352,69665
353,70884
354,72493
355,73706
356,75657
357,77198
358,79778
359,81873
360,42446
